35.1464,       325,
35.2472,       373,
35.3481,       349,
35.4489,       312,
35.5497,       342,
35.6505,       328,
35.7514,       349,
35.8522,       341,
35.953,       318,
36.0538,       329,
36.1546,       338,
36.2555,       339,
36.3563,       362,
36.4571,       358,
36.5579,       376,
36.6587,       367,
36.7596,       381,
36.8604,       356,
36.9612,       405,
37.062,       388,
37.1628,       379,
37.2637,       397,
37.3645,       386,
37.4653,       410,
37.5661,       413,
37.6669,       393,
37.7678,       487,
37.8686,       603,
37.9694,       780,
38.0702,       880,
38.1711,       876,
38.2719,       822,
38.3727,       678,
38.4735,       604,
38.5743,       604,
38.6752,      1133,
38.776,      1598,
38.8768,      1630,
38.9776,      1690,
39.0784,      1361,
39.1793,       878,
39.2801,       491,
39.3809,       396,
39.4817,       356,
39.5825,       417,
39.6834,       387,
39.7842,       390,
39.885,       372,
39.9858,       375,
40.0867,       381,
40.1875,       392,
40.2883,       377,
40.3891,       382,
40.4899,       347,
40.5908,       354,
40.6916,       342,
40.7924,       348,
40.8932,       328,
40.994,       350,
41.0949,       340,
41.1957,       347,
41.2965,       376,
41.3973,       342,
41.4981,       330,
41.599,       338,
41.6998,       323,
41.8006,       346,
41.9014,       342,
42.0022,       332,
42.1031,       320,
42.2039,       343,
42.3047,       340,
42.4055,       360,
42.5064,       340,
42.6072,       347,
42.708,       370,
42.8088,       377,
42.9096,       364,
43.0105,       395,
43.1113,       359,
43.2121,       376,
43.3129,       352,
43.4137,       327,
43.5146,       357,
43.6154,       325,
43.7162,       306,
43.817,       325,
43.9178,       310,
44.0187,       297,
44.1195,       270,
44.2203,       357,
44.3211,       308,
44.422,       336,
44.5228,       291,
44.6236,       332,
44.7244,       332,
44.8252,       341,
44.9261,       366,
45.0269,       349,
45.1277,       391,
45.2285,       421,
45.3293,       393,
45.4302,       368,
45.531,       346,
45.6318,       402,
45.7326,       490,
45.8334,       488,
45.9343,       564,
46.0351,       488,
46.1359,       406,
46.2367,       343,
46.3376,       355,
46.4384,       325,
46.5392,       299,
 46.64,       302,
46.7408,       320,
46.8417,       320,
46.9425,       315,
47.0433,       403,
47.1441,       406,
47.2449,       511,
47.3458,       499,
47.4466,       527,
47.5474,       458,
47.6482,       471,
47.749,       481,
47.8499,       675,
47.9507,       717,
48.0515,       778,
48.1523,       756,
48.2531,       525,
48.354,       402,
48.4548,       295,
48.5556,       283,
48.6564,       273,
48.7573,       286,
48.8581,       300,
48.9589,       310,
49.0597,       302,
49.1605,       294,
49.2614,       286,
49.3622,       294,
49.463,       319,
49.5638,       262,
49.6646,       262,
49.7655,       286,
49.8663,       264,
